block,instr_file,trial_file,index,Block,Stim,SoundFile,Condition,Correct,B1.thisRepN,B1.thisTrialN,B1.thisN,B1.thisIndex,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,instr_text,cont_text,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,3,Block_1pr,Fox,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Fox.wav,Not Manmade,No,0,0,0,0,,,,,0,0,0,3,,,0.222,False,data/trial_Block_1pr000_Fox.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,3,Block_1pr,Fox,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Fox.wav,Not Manmade,No,0,0,0,0,,,,,0,0,0,3,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,4,Block_1pr,Moose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Moose.wav,Not Manmade,No,0,0,0,0,,,,,0,1,1,4,,,0.236,False,data/trial_Block_1pr001_Moose.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,4,Block_1pr,Moose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Moose.wav,Not Manmade,No,0,0,0,0,,,,,0,1,1,4,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,0,Block_1pr,Laptop,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Laptop.wav,Manmade,Yes,0,0,0,0,,,,,0,2,2,0,,,0.296,False,data/trial_Block_1pr002_Laptop.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,0,Block_1pr,Laptop,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Laptop.wav,Manmade,Yes,0,0,0,0,,,,,0,2,2,0,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,1,Block_1pr,Book,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Book.wav,Manmade,Yes,0,0,0,0,,,,,0,3,3,1,,,0.167,False,data/trial_Block_1pr003_Book.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,1,Block_1pr,Book,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Book.wav,Manmade,Yes,0,0,0,0,,,,,0,3,3,1,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,2,Block_1pr,Magazine,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Magazine.wav,Manmade,Yes,0,0,0,0,,,,,0,4,4,2,,,0.187,False,data/trial_Block_1pr004_Magazine.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,2,Block_1pr,Magazine,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Magazine.wav,Manmade,Yes,0,0,0,0,,,,,0,4,4,2,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,5,Block_1pr,Goose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Goose.wav,Not Manmade,No,0,0,0,0,,,,,0,5,5,5,,,0.337,False,data/trial_Block_1pr005_Goose.wav,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,5,Block_1pr,Goose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Goose.wav,Not Manmade,No,0,0,0,0,,,,,0,5,5,5,,,,,,1,001,2019_Nov_07_0945,Dual Task,3.1.5,59.993040807420314,
